role,champion,winrate,games
UTILITY,Amumu,0.5254237288135594,59
MIDDLE,Ornn,0.35714285714285715,42
MIDDLE,Vayne,0.5287356321839081,87
BOTTOM,Zyra,0.5611510791366906,139
BOTTOM,Quinn,0.5833333333333334,12
TOP,Akshan,0.6377952755905512,127
UTILITY,Nunu,0.5,14
MIDDLE,LeeSin,0.525,40
UTILITY,Leblanc,0.5230769230769231,130
BOTTOM,Malzahar,0.4166666666666667,36
MIDDLE,Kennen,0.5172413793103449,58
UTILITY,Shaco,0.4777777777777778,180
UTILITY,Riven,0.5384615384615384,13
BOTTOM,Kayle,0.7142857142857143,7
TOP,Kayn,0.4482758620689655,29
BOTTOM,Chogath,0.45,20
TOP,Corki,0.5833333333333334,36
UTILITY,Ashe,0.42424242424242425,33
BOTTOM,Jayce,0.3333333333333333,6
JUNGLE,Riven,0.5188679245283019,106
TOP,Elise,0.47058823529411764,51
MIDDLE,Karthus,0.46808510638297873,94
TOP,Ivern,0.5555555555555556,27
BOTTOM,Anivia,0.5,50
UTILITY,Ivern,0.40625,32
UTILITY,KSante,0.5116279069767442,43
UTILITY,Rumble,0.5555555555555556,9
UTILITY,Orianna,1.0,7
MIDDLE,DrMundo,0.391304347826087,23
BOTTOM,Vladimir,0.4857142857142857,280
JUNGLE,Shen,0.4673913043478261,92
MIDDLE,Jax,0.6388888888888888,108
TOP,Mel,0.5882352941176471,17
JUNGLE,Rumble,0.46511627906976744,43
TOP,Katarina,0.5625,64
BOTTOM,Fiora,0.5490196078431373,153
MIDDLE,Elise,0.3333333333333333,6
MIDDLE,KogMaw,0.4921875,128
UTILITY,Anivia,0.47249190938511326,309
TOP,Taliyah,0.4090909090909091,44
UTILITY,Annie,0.4918032786885246,61
MIDDLE,Aatrox,0.5172413793103449,29
JUNGLE,Rammus,0.6282051282051282,78
TOP,Kaisa,0.48,25
MIDDLE,Warwick,0.4,10
TOP,Samira,0.16666666666666666,6
UTILITY,Qiyana,0.5,22
BOTTOM,Rengar,0.47058823529411764,17
BOTTOM,Naafiri,0.43478260869565216,23
TOP,FiddleSticks,0.44,100
TOP,Viktor,0.46153846153846156,65
TOP,Qiyana,0.6148148148148148,135
MIDDLE,Singed,0.5031055900621118,161
TOP,Aphelios,0.5,8
BOTTOM,Ekko,0.5466666666666666,75
UTILITY,Fiora,0.36,25
UTILITY,Jax,0.43243243243243246,37
MIDDLE,Zyra,0.42857142857142855,21
TOP,Ezreal,0.5483870967741935,31
MIDDLE,Olaf,0.578125,64
MIDDLE,Kaisa,0.3333333333333333,18
TOP,Viego,0.42857142857142855,21
MIDDLE,Yunara,0.6666666666666666,3
JUNGLE,Vex,0.0,1
TOP,Zoe,0.44166666666666665,120
BOTTOM,Zed,0.25,8
TOP,Orianna,0.48,25
BOTTOM,Riven,0.5769230769230769,52
BOTTOM,Elise,0.0,1
TOP,Velkoz,0.423728813559322,59
UTILITY,Nasus,0.38461538461538464,13
BOTTOM,Katarina,0.5341614906832298,161
TOP,Karthus,0.5573770491803278,61
UTILITY,Singed,0.3076923076923077,13
JUNGLE,Teemo,0.4411764705882353,68
MIDDLE,Camille,0.5384615384615384,26
MIDDLE,Kayn,0.4,5
MIDDLE,Ivern,0.5625,16
MIDDLE,RekSai,0.2857142857142857,14
MIDDLE,Shaco,0.5,2
TOP,Skarner,0.4158415841584158,101
MIDDLE,Riven,0.5189620758483033,501
MIDDLE,Kled,0.5555555555555556,9
TOP,Rammus,0.4,10
UTILITY,Vladimir,0.0,1
TOP,Rengar,0.32,25
BOTTOM,Pyke,0.875,8
TOP,KogMaw,0.6162790697674418,86
TOP,Kassadin,0.47058823529411764,34
BOTTOM,Fizz,0.5,4
MIDDLE,Rumble,0.47368421052631576,76
TOP,Syndra,0.48484848484848486,33
BOTTOM,Azir,0.375,16
MIDDLE,Nasus,0.5584415584415584,77
JUNGLE,Sion,0.6538461538461539,26
UTILITY,Rengar,0.375,8
BOTTOM,Akshan,0.5652173913043478,23
BOTTOM,Xerath,0.53125,96
TOP,Veigar,0.41379310344827586,29
TOP,Vi,0.5789473684210527,19
UTILITY,Taliyah,0.39473684210526316,38
TOP,TwistedFate,0.5164835164835165,273
TOP,Briar,0.35714285714285715,14
BOTTOM,Kayn,0.25,4
MIDDLE,Draven,0.1111111111111111,9
MIDDLE,Pyke,0.6,20
UTILITY,Akshan,0.0,2
MIDDLE,Aphelios,0.4,5
JUNGLE,Taric,0.3333333333333333,3
TOP,Ziggs,0.0,2
MIDDLE,Jhin,0.6363636363636364,11
UTILITY,Belveth,0.0,2
JUNGLE,Camille,0.4642857142857143,28
UTILITY,Hwei,0.35135135135135137,37
UTILITY,Karthus,0.43478260869565216,23
UTILITY,Syndra,0.45454545454545453,22
BOTTOM,Aatrox,0.0,1
MIDDLE,Senna,0.0,2
UTILITY,RekSai,0.38461538461538464,13
BOTTOM,Singed,0.6666666666666666,33
MIDDLE,Rakan,0.5,2
BOTTOM,DrMundo,0.0,3
TOP,Vex,0.6875,16
JUNGLE,Vayne,0.5148514851485149,101
MIDDLE,FiddleSticks,0.5333333333333333,15
BOTTOM,Galio,1.0,3
BOTTOM,Garen,1.0,2
JUNGLE,Ornn,0.6153846153846154,13
TOP,Jhin,0.45454545454545453,11
TOP,Lulu,0.5,4
TOP,Hwei,0.7058823529411765,17
BOTTOM,Sylas,0.5161290322580645,31
TOP,AurelionSol,0.5818181818181818,55
UTILITY,KogMaw,0.5,4
UTILITY,XinZhao,0.375,8
BOTTOM,Ornn,1.0,2
MIDDLE,Alistar,0.0,1
MIDDLE,Nautilus,0.6666666666666666,6
UTILITY,Kayle,0.6666666666666666,3
JUNGLE,Ezreal,0.4722222222222222,36
BOTTOM,Ahri,0.3157894736842105,19
UTILITY,Ezreal,0.2857142857142857,21
BOTTOM,Akali,0.375,8
TOP,Caitlyn,0.5,8
JUNGLE,Yone,0.6666666666666666,3
MIDDLE,Sett,0.42857142857142855,7
BOTTOM,Shaco,0.25,4
UTILITY,Sion,0.37735849056603776,53
TOP,Draven,0.5,44
MIDDLE,Kalista,0.42857142857142855,42
MIDDLE,Shyvana,0.6666666666666666,3
BOTTOM,Ambessa,1.0,1
MIDDLE,Udyr,0.0,2
UTILITY,LeeSin,0.1875,16
JUNGLE,Xayah,0.0,1
MIDDLE,Trundle,0.25,12
TOP,Shaco,0.2857142857142857,7
UTILITY,Aurora,0.25,4
MIDDLE,Nocturne,0.45454545454545453,11
TOP,Brand,0.5816993464052288,153
MIDDLE,Ashe,0.6,5
TOP,Xerath,0.25,4
BOTTOM,Irelia,0.5,14
UTILITY,Twitch,0.391304347826087,23
UTILITY,MasterYi,0.3333333333333333,6
BOTTOM,Vex,0.5,4
TOP,Kindred,0.4,10
JUNGLE,Kaisa,0.42857142857142855,7
UTILITY,Katarina,0.6666666666666666,3
MIDDLE,Fiora,0.5384615384615384,78
BOTTOM,Camille,0.0,2
MIDDLE,Gnar,0.42857142857142855,7
MIDDLE,Sivir,0.42105263157894735,19
BOTTOM,Orianna,0.4,5
MIDDLE,Sejuani,0.0,3
UTILITY,Warwick,0.3333333333333333,3
UTILITY,Caitlyn,0.0,1
MIDDLE,Soraka,0.25,8
MIDDLE,Kindred,0.5,4
JUNGLE,AurelionSol,0.42857142857142855,7
MIDDLE,Belveth,0.5,12
UTILITY,TwistedFate,0.42105263157894735,19
UTILITY,Ahri,0.6666666666666666,6
BOTTOM,Yone,0.5789473684210527,19
BOTTOM,TwistedFate,0.7142857142857143,14
BOTTOM,LeeSin,0.4,5
TOP,Alistar,0.0,4
UTILITY,Evelynn,0.75,4
MIDDLE,MissFortune,0.3333333333333333,6
BOTTOM,Soraka,0.8,5
MIDDLE,Nidalee,0.3333333333333333,9
BOTTOM,Lissandra,0.5,2
TOP,Nocturne,0.16666666666666666,6
BOTTOM,Morgana,0.3333333333333333,6
MIDDLE,Urgot,0.42857142857142855,7
JUNGLE,Singed,0.3333333333333333,3
TOP,Zyra,0.5333333333333333,15
JUNGLE,Twitch,0.42857142857142855,7
MIDDLE,Taric,0.3333333333333333,3
TOP,Diana,0.4634146341463415,41
UTILITY,MissFortune,0.42857142857142855,7
BOTTOM,Annie,0.5370370370370371,54
TOP,Nunu,0.5238095238095238,21
MIDDLE,Vi,0.5,14
BOTTOM,Shen,1.0,1
UTILITY,Rammus,0.75,8
TOP,Nilah,0.3333333333333333,3
UTILITY,Kled,0.3333333333333333,3
UTILITY,Gangplank,1.0,1
TOP,Evelynn,0.5,4
BOTTOM,Kennen,0.3684210526315789,19
TOP,Ashe,0.5,12
JUNGLE,Gnar,0.5333333333333333,15
UTILITY,Malzahar,0.16666666666666666,6
MIDDLE,Illaoi,0.7,10
JUNGLE,Kayle,0.4444444444444444,9
UTILITY,Urgot,1.0,1
JUNGLE,Nautilus,0.375,8
JUNGLE,Zeri,0.16666666666666666,6
TOP,Hecarim,1.0,1
TOP,Pyke,0.3333333333333333,3
JUNGLE,Sett,0.4375,16
JUNGLE,Heimerdinger,0.4,5
TOP,Sona,0.2,5
UTILITY,AurelionSol,0.5,4
UTILITY,Cassiopeia,0.75,8
BOTTOM,Teemo,0.5,8
BOTTOM,Belveth,0.0,2
BOTTOM,Diana,0.5,4
BOTTOM,Kindred,0.3333333333333333,3
JUNGLE,Malzahar,0.5,2
UTILITY,Varus,1.0,1
UTILITY,Jhin,0.4,5
MIDDLE,Poppy,0.25,4
UTILITY,Zaahen,0.0,1
MIDDLE,Yorick,0.3333333333333333,9
TOP,Morgana,0.45454545454545453,11
UTILITY,Darius,0.8571428571428571,7
UTILITY,Quinn,0.5,6
UTILITY,Sett,0.75,4
UTILITY,Talon,0.0,1
MIDDLE,Caitlyn,0.375,8
JUNGLE,Kalista,0.0,1
TOP,Seraphine,0.5,8
TOP,Belveth,0.5714285714285714,7
BOTTOM,Tryndamere,0.0,1
BOTTOM,Ryze,0.5,4
TOP,Rakan,1.0,1
TOP,Taric,0.0,2
MIDDLE,TahmKench,0.7777777777777778,9
UTILITY,Yasuo,0.0,3
JUNGLE,Draven,0.2,5
MIDDLE,JarvanIV,1.0,3
UTILITY,Nocturne,0.0,2
MIDDLE,Rammus,1.0,1
JUNGLE,TahmKench,0.0,1
TOP,Xayah,0.3333333333333333,3
UTILITY,Udyr,0.5,2
TOP,Lillia,0.75,4
BOTTOM,Illaoi,1.0,2
UTILITY,Akali,0.6666666666666666,3
MIDDLE,Xayah,0.5,2
BOTTOM,XinZhao,0.16666666666666666,6
JUNGLE,Jhin,1.0,1
UTILITY,DrMundo,1.0,2
UTILITY,Naafiri,1.0,1
JUNGLE,Quinn,0.45023696682464454,211
BOTTOM,MonkeyKing,1.0,1
JUNGLE,Irelia,0.0,1
MIDDLE,Sona,0.5,2
BOTTOM,Nasus,0.0,3
JUNGLE,KogMaw,0.5,2
BOTTOM,Karma,1.0,2
MIDDLE,Lillia,0.5,2
MIDDLE,Volibear,0.5,2
MIDDLE,Nilah,0.0,1
BOTTOM,Nunu,0.0,2
UTILITY,Fizz,0.5,2
UTILITY,Chogath,0.0,3
UTILITY,Tryndamere,1.0,1
BOTTOM,MasterYi,0.5416666666666666,24
UTILITY,Malphite,1.0,1
JUNGLE,Soraka,0.0,1
UTILITY,Kalista,0.0,1
JUNGLE,Nilah,0.0,1
BOTTOM,Talon,1.0,2
TOP,Milio,1.0,1
UTILITY,Aatrox,1.0,1
UTILITY,Viego,0.8571428571428571,7
UTILITY,MonkeyKing,0.0,3
BOTTOM,Kassadin,0.0,1
JUNGLE,TwistedFate,0.0,2
BOTTOM,Renekton,1.0,5
MIDDLE,Amumu,0.0,1
JUNGLE,Kled,1.0,1
JUNGLE,Yasuo,0.0,3
BOTTOM,Malphite,0.0,3
JUNGLE,Tryndamere,0.3333333333333333,3
MIDDLE,Nami,1.0,1
UTILITY,Zed,1.0,4
